ticket_id,subject,body,customer_id,customer_tier,product,source_channel,created_at,repo_name,issue_url,issue_state,github_labels
GH-840868902,error while loading shared libraries: libatomic.so.1: cannot open shared object file: No such file or directory,"<!--
Please fill out this entire template so that we can address your bug report as quickly as possible.

Any bug reports that don't contain instructions to reproduce the issue will be closed.
-->

Flow version: 0.147.0

## Expected behavior

flow should run without errors

## Actual behavior

when I run Flow on my GitHub Workflow I get:

```
/github/workspace/node_modules/flow-bin/flow-linux64-v0.147.0/flow: error while loading shared libraries: libatomic.so.1: cannot open shared object file: No such file or directory
```

See https://github.com/popperjs/react-popper/runs/2192949490

<!--
Please reproduce your issue on flow.org/try so that we can debug it.

Not all issues are reproducible on try-flow because they may require multiple
files or specific flowconfig settings. If your bug can only be reproduced
under one of these constraints, please make a small github repo that
contains a minimal way to reproduce your problem.
-->
* Link to Try-Flow or Github repo: N/A",FezVrasta,Standard,facebook/flow,GitHub Issue,2021-03-25T12:15:34Z,facebook/flow,https://github.com/facebook/flow/issues/8628,closed,"bug, needs triage"
GH-562077705,Fish operator displays as greater than or equal followed by greater than,"The fish operator `>=>` displays as `≥>`
Disabling the ligature in that case would be a good first solution.

Thanks.",dam5s,Standard,JetBrains/JetBrainsMono,GitHub Issue,2020-02-08T21:04:12Z,JetBrains/JetBrainsMono,https://github.com/JetBrains/JetBrainsMono/issues/134,closed,bug
GH-2273480553,Shows Nothing for Sensors Widget,"On a fresh Mac and fresh install, I  go to Sensors and enable it and also enable any subsystem like fans or temperature. Nothing shows up in the widget.

The 2.10.11 has this issue but 2.10.10 is fine.

**Details:**
 - Device: MacBook Pro M2 Pro 14""
 - macOS: Sonoma 14.4.1
 - Application version: 2.10.11
 
<img width=""749"" alt=""Screenshot 2024-05-01 at 8 59 49 PM"" src=""https://github.com/exelban/stats/assets/32928433/10475d5f-c7f3-49b0-81a4-6ed7fb24a182"">",MhmRhm,Standard,exelban/stats,GitHub Issue,2024-05-01T13:11:46Z,exelban/stats,https://github.com/exelban/stats/issues/1923,closed,bug
GH-656933951,NotNullIfNotNull does not work for properties,"**Version Used**:  Microsoft (R) Build Engine version 16.5.0+d4cbfca49 for .NET Core (I was unable to google where I can get roslyn version if this is not it)

**Steps to Reproduce**:

```
class Program
    {
        public object? First;

        [NotNullIfNotNull(nameof(First))]
        public object? Second => First;

        static void Main(string[] args)
        {
            var n = new Program();

            if (n.First is null) throw new ArgumentNullException();

            object f = n.First;
            object s = n.Second; // warning CS8600: Converting null literal or possible null value to non-nullable type.
        }
    }
```
**Expected Behavior**:
Neither `object f = n.First;` or `object s = n.Second;` gives out warning because first was explicitly checked and second has an attribute that it is null if first is not null.


**Actual Behavior**:
`object s = n.Second;` gives warning that I am assigning possible null value to a non-nullable variable.

**Related issues**:
Same attribute for operators
https://github.com/dotnet/roslyn/issues/39802",mladedav,Standard,dotnet/roslyn,GitHub Issue,2020-07-14T22:22:32Z,dotnet/roslyn,https://github.com/dotnet/roslyn/issues/45984,closed,"Bug, Area-Compilers, Resolution-By Design, New Language Feature - Nullable Reference Types, Concept-Null Annotations"
GH-1968639698,empty write_bib() for packages without URL,"To reproduce, call `write_bib()` for an installed package with no URL in its DESCRIPTION, for example:
```r
knitr::write_bib(""gridSVG"")
```
currently produces nothing but an empty line.
This is a regression in knitr 1.44 due to #2264.
The return logic in 
https://github.com/yihui/knitr/blob/0f5a15d9ea0b8edfa7a9ed417af0fd54986d5c39/R/citation.R#L92
seems at fault.",bastistician,Standard,yihui/knitr,GitHub Issue,2023-10-30T15:25:22Z,yihui/knitr,https://github.com/yihui/knitr/issues/2304,closed,bug
GH-1049126888,[BUG] Flutter 2.5?,"**Before creating a bug report please make check the following**

- [x] You have read our [FAQ](https://fvm.app/docs/guides/faq)
- [x] If you have used flutter. Please install correctly, run `pub cache repair`. Close the terminal and try again.
- [x] If you are on Windows. Make sure you are running the terminal as `administrator` or with `developer` permissions.
- [x] Run `fvm doctor` if possible and add the output to the issue.

**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:

1. Go to terminal..
2. Run `fvm use stable`...
3. Check...
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Logs**
Please provide the verbose logs by running `--verbose` after the command.

**Desktop (please complete the following information):**

- OS: [e.g. iOS]
- FVM Version [e.g. 22]
- If Windows: Which Powershell are you using?

**Additional context**
Add any other context about the problem here.",iyobo,Standard,leoafarias/fvm,GitHub Issue,2021-11-09T21:12:47Z,leoafarias/fvm,https://github.com/leoafarias/fvm/issues/360,closed,bug
GH-144639207,can't pull conftest fixtures from doctests,"If I create a fixture in tests/conftest.py I can't access it in a doctest in package_name/module.py with `getfixture`

See also https://stackoverflow.com/questions/25653147/pytest-doctest-with-fixtures-in-conftest-py",graingert,Standard,pytest-dev/pytest,GitHub Issue,2016-03-30T16:04:25Z,pytest-dev/pytest,https://github.com/pytest-dev/pytest/issues/1495,closed,"type: docs, good first issue, plugin: doctests"
GH-2325528260,ScheduleRunner::runWebCron using menu's  id,"### Steps to reproduce the issue

- Create a menu item with a single article and make it the default menu (or any other menu item with an id=)
- Create a Webcron Link 
- Execute the Webcron

### Expected result

Execution of task(s) due to execution. From the inline help:

`By default, requesting this base link will only run tasks due for execution. To execute a specific task, use the task's ID as a query parameter appended to the URL: BASE_URL&id=<taskId>`

(Thus the id retrieved from the input in ScheduleRunner::runWebCron should be zero.)

### Actual result

The id in runWebCron is set to the id from the menu item, I think it is parseRawRoute adding the id.

So only the tasks matching that ID is executed, if there is any task with that id.


### System information (as much as possible)


### Additional comments

The problem is resolved by adding a &id=0 to the Webcron Link.  Which is a minor inconvenience, but shouldn't that be the default base url??",brbrbr,Standard,joomla/joomla-cms,GitHub Issue,2024-05-30T12:12:03Z,joomla/joomla-cms,https://github.com/joomla/joomla-cms/issues/43576,closed,"No Code Attached Yet, bug"
GH-639497965,Crash when inputting x^10=10 into function data input field in Graphing Calculator,"**Summary:**
Crash when inputting x^10=10 into function data input field in Graphing Calculator

**Repro Steps:**
1. Launch Calculator
2. Switch to Graphing mode
3. In a function data input field, input x^10=10
4. Press [Enter]
5. Observe Calculator

**Observed results:**
Calculator crashes

**Expected results:**
Calculator doesn't crash

**Exception Thrown:**
Unhandled exception at 0x00007FFAC20CCDF6 (omsautimmss.dll) in Calculator.exe.6964.dmp: 0xC0000005: Access violation reading location 0x000001BB00000001. occurred",MicrosoftIssueBot,Standard,microsoft/calculator,GitHub Issue,2020-06-16T09:02:23Z,microsoft/calculator,https://github.com/microsoft/calculator/issues/1276,closed,"Bug, Area: Reliability, fixed, Pri: 2"
GH-1627744925,Undefined reference to 'futhark_tuning_params_for_*',"In the C code generated by `multicore` backend, immediately under the comment `// Miscellaneous` are generated a number of function signatures of the form `const int *futhark_tuning_params_for_myFunction(void);` but no definition follows, resulting in errors at compile-time.",nbos,Standard,diku-dk/futhark,GitHub Issue,2023-03-16T15:27:17Z,diku-dk/futhark,https://github.com/diku-dk/futhark/issues/1896,closed,"bug, compiler"
GH-1864755549,Homebrew publish CI broken because of the new meilisearch formula path,"The homebrew-core repository has modified its Formula folder and split the files into folders with the first letter of the formula name. The issue is that we use the _mislav/bump-homebrew-formula-action_ Action in our release CI, and it is not up-to-date to follow this new path rule. I propose [using the `formula-path` setting](https://github.com/mislav/bump-homebrew-formula-action#action-inputs) to define where the Meilisearch Formula lies.

For the latest v1.3.2 release, I had to [do the Formula update by hand](https://github.com/Homebrew/homebrew-core/pull/140345). That wasn't that hard, but the CI must have done it automatically.",Kerollmops,Standard,meilisearch/meilisearch,GitHub Issue,2023-08-24T09:22:53Z,meilisearch/meilisearch,https://github.com/meilisearch/meilisearch/issues/4015,closed,"bug, v1.4.0"
GH-334635046,"ResourceManager doesn't have SDK for latest version viz 2018-02-01, 2018-05-01",ResourceManager has swagger spec present for both API versions (https://github.com/Azure/azure-rest-api-specs/blob/master/specification/resources/resource-manager/Microsoft.Resources/stable) but current version of SDK and nuget package doesn't contain methods for these API versions.,DheerendraRathor,Standard,Azure/azure-sdk-for-net,GitHub Issue,2018-06-21T19:56:26Z,Azure/azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net/issues/4482,closed,"ARM, Service Attention, bug, ARM - Core, Docs"
GH-993975299,remove issue with useFieldArray async data,"First of all, thanks a lot for the great library and all the work you have been doing maintaining it !!

I am trying to implement form edition with data fetched from a database.
I'm leveraging the useFieldArray hook to handle dynamic sections creation and edition.

I created a codesandbox to help you investigate
https://codesandbox.io/s/objective-haze-9vr3x?file=/src/App.js

(I don't know if I am doing something wrong but here are the steps to reproduce my issue)

1. Wait for the data to load (to simulate a fetch request, we simply used a setTimeout and populated the defaultValues with dummy data)
2. Remove the 2nd item of the array
3. Hit the submit button

The data coming into the submit function should normally be an array of one item.

I have been struggling with this issue for quite some time and I would greatly appreciate your help.

_Originally posted by @devmadou in https://github.com/react-hook-form/react-hook-form/discussions/6527_",bluebill1049,Standard,react-hook-form/react-hook-form,GitHub Issue,2021-09-11T23:13:44Z,react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form/issues/6528,closed,bug
GH-341302469,Adding Adafruit Bluefruit LE SPI Friend,"I bought Adafruit Bluefruit LE SPI Friend to add Bluetooth function to my keyboard but I cant get it to work. When the keyboard is plugged via USB the keypress gets inputted into my computer but when i try to connect via Bluetooth it doesn't work. I am using a teensy 2.0. 
https://gist.github.com/leonpg2003/bb883d7ae929055e82050bbc45231a87
-label:help wanted",leonpg2003,Standard,qmk/qmk_firmware,GitHub Issue,2018-07-15T08:13:15Z,qmk/qmk_firmware,https://github.com/qmk/qmk_firmware/issues/3407,closed,"bug, question, help wanted"
GH-1338990102,Change alert's reason copy for warning trigger,"Related to https://github.com/elastic/kibana/issues/102983 and https://github.com/elastic/kibana/pull/138138

When a rule is triggered with a **warning** threshold, the alert's reason copy is built as `Alert when {comparator} {threshold}`.

We should change the copy to `Warn when {comparator} {threshold}` in such cases to differentiate between alert and warning levels.",kdelemme,Standard,elastic/kibana,GitHub Issue,2022-08-15T13:14:58Z,elastic/kibana,https://github.com/elastic/kibana/issues/138807,closed,"bug, Team: Actionable Observability - DEPRECATED, v8.5.0"
GH-1293678606,bug: ci tests fail when repository has no tags,"### Describe the Bug

ci tests fail when repository has no tags

```
git tag
```
yields no output if a repository has no tags. This is something that should be expected and tolerated/handled.

### Steps to Reproduce

1. Fork this repository
2. Delete all tags
3. Push a commit to the repository that adds a blank line to the README
4. Create a PR `chore: test`

### Expected Behaviour

the tests should all run to completion and pass

### Actual Behaviour

```
not ok 206 asdf update should checkout the latest non-RC tag
# (in test file test/update_command.bats, line 41)
#   `git tag | grep $tag' failed with status 2
...
not ok 207 asdf update should checkout the latest tag when configured with use_release_candidates = yes
# (in test file test/update_command.bats, line 52)
#   `git tag | grep $tag' failed with status 2
```

### Environment

```shell
(I don't have asdf, the CI failed)
https://github.com/check-spelling/asdf/commit/624aede7f3480cd6a8817d5a73b72227e87fa668
```


### asdf plugins affected (if relevant)

_No response_",jsoref,Standard,asdf-vm/asdf,GitHub Issue,2022-07-05T01:25:46Z,asdf-vm/asdf,https://github.com/asdf-vm/asdf/issues/1288,closed,"bug, enhancement, help wanted"
