ticket_id,subject,body,customer_id,customer_tier,previous_ticket_count,product,source_channel,created_at,department,intent,urgency,refund,churn,escalation
BAL-R023,Cannot sign in,I cannot log in after changing my email address yesterday.,CUS-0068,Standard,1,LayaDesk,Web,2026-09-23T00:41:00+00:00,Account Support,Login Problem,High,False,False,False
BAL-R012,Dashboard won't load,The dashboard stays blank after login on Chrome. I can reproduce it every time.,CUS-0043,Standard,4,LayaDesk,Web,2026-09-23T05:14:00+00:00,Technical Support,Bug Report,High,False,False,False
BAL-R064,CSV export frozen,Our CSV export has been stuck at 0% for over an hour.,CUS-0103,Standard,0,LayaDesk,Chat,2026-09-22T12:03:00+00:00,Technical Support,Bug Report,Medium,False,False,False
BAL-R077,New workspace owner needed,Our workspace owner has left the company; please transfer ownership to a new admin.,CUS-0116,Enterprise,2,LayaDesk,Web,2026-09-22T10:06:00+00:00,Account Support,Account Change,Medium,False,False,False
BAL-R035,Security questionnaire,"Before buying, procurement needs your security questionnaire and compliance details.",CUS-0027,Standard,5,LayaDesk,Chat,2026-09-22T19:55:00+00:00,Sales,Sales Inquiry,Medium,False,False,False
BAL-R001,Duplicate March charge,I was billed twice for March. Please refund the second charge to my card.,CUS-0018,Standard,1,LayaDesk,Web,2026-09-23T09:47:00+00:00,Billing,Refund Request,High,True,False,False
BAL-R079,Update account contact email,Please update our account's contact email to a new address.,CUS-0118,Standard,5,LayaDesk,Chat,2026-09-22T09:48:00+00:00,Account Support,Account Change,Low,False,False,False
BAL-R057,Invoice in wrong currency,The invoice was issued in USD instead of EUR and finance can't process it in time.,CUS-0096,Pro,1,LayaDesk,Chat,2026-09-22T13:06:00+00:00,Billing,Payment Problem,High,False,False,False
BAL-R072,Login broken after email change,I can't sign in after updating my email address yesterday.,CUS-0111,Standard,4,LayaDesk,Web,2026-09-22T10:51:00+00:00,Account Support,Login Problem,High,False,False,False
BAL-R008,Wrong currency,The invoice is in USD instead of EUR. Our finance team cannot process it before Friday.,CUS-0071,Pro,3,LayaDesk,Email,2026-09-23T08:03:00+00:00,Billing,Payment Problem,High,False,False,False
BAL-A049,Annual billing question,Can you explain when the annual renewal will be charged and what the invoice includes?,CUS-B049,Standard,1,LayaDesk,Chat,2026-09-24T03:17:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R026,Cancel subscription,Please cancel our subscription at the end of the current term.,CUS-0036,Standard,4,LayaDesk,Web,2026-09-23T00:02:00+00:00,Account Support,Cancellation,Medium,False,True,False
BAL-R038,Nonprofit plan,Is there special pricing for a small nonprofit organization?,CUS-0078,Standard,2,LayaDesk,Chat,2026-09-22T19:16:00+00:00,Sales,Sales Inquiry,Low,False,False,False
BAL-A023,Annual renewal billing,Can you explain when the annual renewal will be billed and which plan it covers?,CUS-B023,Standard,2,LayaDesk,Email,2026-09-24T06:19:00+00:00,Billing,Payment Problem,Medium,False,False,False
BAL-R074,Revoke ex-employee access,A former employee still has account access. Please revoke it today.,CUS-0113,Pro,3,LayaDesk,Chat,2026-09-22T10:33:00+00:00,Account Support,Account Change,High,False,False,True
