ticket_id,subject,body,customer_id,customer_tier,previous_ticket_count,product,source_channel,created_at,department,intent,urgency,refund,churn,escalation
BAL-A001,Annual billing question,Can you explain when the annual renewal will be billed and what it covers?,CUS-B001,Standard,1,LayaDesk,Chat,2026-09-24T08:53:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R001,Duplicate March charge,I was billed twice for March. Please refund the second charge to my card.,CUS-0018,Standard,1,LayaDesk,Web,2026-09-23T09:47:00+00:00,Billing,Refund Request,High,true,false,false
BAL-A002,Annual billing question,Can you explain when our annual renewal will be billed and what it covers?,CUS-B002,Standard,2,LayaDesk,Email,2026-09-24T08:46:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R002,Invoice total looks wrong,Our invoice is higher than the agreed amount. Can you explain each line item?,CUS-0035,Standard,2,LayaDesk,Chat,2026-09-23T09:34:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-A003,Annual billing question,Can you explain when the yearly renewal will be billed and what it covers?,CUS-B003,Standard,0,LayaDesk,Web,2026-09-24T08:39:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R003,Payment failed at checkout,My company card keeps being declined although the bank says it is active.,CUS-0052,Pro,3,LayaDesk,Email,2026-09-23T09:21:00+00:00,Billing,Payment Problem,High,false,false,false
BAL-A004,Annual billing question,Can you explain when the annual renewal will be charged and what it covers?,CUS-B004,Standard,1,LayaDesk,Chat,2026-09-24T08:32:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R004,Refund for accidental upgrade,I upgraded by mistake today. Please refund the upgrade payment.,CUS-0069,Standard,4,LayaDesk,Web,2026-09-23T09:08:00+00:00,Billing,Refund Request,Medium,true,false,false
BAL-A005,Annual billing question,Can you explain when the annual subscription renewal will be billed and what it covers?,CUS-B005,Standard,2,LayaDesk,Email,2026-09-24T08:25:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R005,Tax ID missing,Could you add our tax ID to the latest invoice and send an updated copy?,CUS-0003,Standard,5,LayaDesk,Chat,2026-09-23T08:55:00+00:00,Billing,Payment Problem,Low,false,false,false
BAL-A006,Annual billing question,Can you explain when the annual renewal will be billed and what services it covers?,CUS-B006,Standard,0,LayaDesk,Web,2026-09-24T08:18:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R006,Charged after cancellation,The account was cancelled last week but I was charged again. Refund this payment.,CUS-0020,Pro,0,LayaDesk,Email,2026-09-23T08:42:00+00:00,Billing,Refund Request,High,true,true,true
BAL-A007,Annual billing question,Can you explain when the annual renewal will be billed and which seats it covers?,CUS-B007,Standard,1,LayaDesk,Chat,2026-09-24T08:11:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R007,Need receipt,Please send the receipt for our July payment to our finance team.,CUS-0054,Enterprise,2,LayaDesk,Chat,2026-09-23T08:16:00+00:00,Billing,Payment Problem,Low,false,false,false
BAL-A008,Annual billing question,Can you explain when the annual renewal will be billed and which plan it covers?,CUS-B008,Standard,2,LayaDesk,Email,2026-09-24T08:04:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R008,Wrong currency,The invoice is in USD instead of EUR. Our finance team cannot process it before Friday.,CUS-0071,Pro,3,LayaDesk,Email,2026-09-23T08:03:00+00:00,Billing,Payment Problem,High,false,false,false
BAL-A009,Annual billing question,Can you explain when the annual renewal will be billed and what is included?,CUS-B009,Standard,0,LayaDesk,Web,2026-09-24T07:57:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R009,Refund declined transaction,A failed transaction still appears as posted on my statement. Please refund it.,CUS-0005,Standard,4,LayaDesk,Web,2026-09-23T07:50:00+00:00,Billing,Refund Request,High,true,false,false
BAL-A010,Annual billing question,When will the annual renewal be billed and what does it cover?,CUS-B010,Standard,1,LayaDesk,Chat,2026-09-24T07:50:00+00:00,Billing,Payment Problem,Medium,false,false,false
BAL-R010,Billing issue again,This is the third billing issue this month. Fix it or we're cancelling our plan.,CUS-0022,Standard,5,LayaDesk,Chat,2026-09-23T07:37:00+00:00,Billing,Payment Problem,High,false,true,true
